A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Latitude,X position,Y position
73,POLE,WF-PTZ-4.01,PTZ CAMERA,WEST,4+201.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.637105,22.97172,,
74,POLE,WF-PTZ-4.02,PTZ CAMERA,WEST,4+701.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.632901,22.973835,,
75,POLE,WF-PTZ-5.01,PTZ CAMERA,WEST,5+213.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.629026,22.976978,,
76,POLE,WF-PTZ-5.02,PTZ CAMERA,WEST,5+781.5,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.625003,22.981372,,
77,POLE,WF-PTZ-6.01,PTZ CAMERA,WEST,6+250,RIGHT SIDE OF THE ROAD,Fly,ΓΕ2,40.621145,22.983293,,
78,POLE,WF-PTZ-6.02,PTZ CAMERA,WEST,6+682,RIGHT SIDE OF THE ROAD,Fly,ΓΕ3,40.617372,22.984227,,
79,POLE,WF-PTZ-7.01,PTZ CAMERA,WEST,7+302,RIGHT SIDE OF THE ROAD,Fly,ΓΕ3,40.614186,22.989755,,
80,POLE,ΔW-PTZ-0.01,PTZ CAMERA,WEST,0+000,MIDDLE OF THE ROAD,ΔΕΣΠΕΡ,,40.662944,22.881707,,
81,POLE,ΔW-PTZ-0.02,PTZ CAMERA,WEST,0+564,MIDDLE OF THE ROAD,ΔΕΣΠΕΡ,,40.667847,22.883109,,
82,POLE,ΔE-PTZ-1.01,PTZ CAMERA,EAST,1+183.5,RIGHT SIDE OF THE ROAD,ΔΕΣΠΕΡ,,40.67204,22.88792,,
83,POLE,ΔE-PTZ-1.02,PTZ CAMERA,EAST,1+649.5,RIGHT SIDE OF THE ROAD,ΔΕΣΠΕΡ,,40.67504,22.891698,,
84,POLE,ΔW-PTZ-2.01,PTZ CAMERA,WEST,2+281,RIGHT SIDE OF THE ROAD ,ΔΕΣΠΕΡ,,40.677737,22.89824,,
85,WALL,ΔW-PTZ-2.02,PTZ CAMERA,WEST,2+947,RIGHT WALL OF THE UNDERPASS K/KO,ΔΕΣΠΕΡ,,40.677971,22.906133,,
86,POLE,ΔW-PTZ-2.03,PTZ CAMERA,WEST,2+947,CENTER OF THE ROUNDABOUT K/KO,ΔΕΣΠΕΡ,,40.677878,22.906134,,
